product_category_name,product_categroy_name_english
beleza_saude,health_beauty
perfumaria,perfumery
informatica_acessorios,computers_accessories
automotivo,auto
artes,art
cama_mesa_banho,bed_bath_table
esporte_lazer,sports_leisure
moveis_decoracao,furniture_decor
utilidades_domesticas,housewares
telefonia,telephony
bebes,baby
papelaria,stationery
brinquedos,toys
ferramentas_jardim,garden_tools
fashion_bolsas_e_acessorios,fashion_bags_accessories
instrumentos_musicais,musical_instruments
fashion_calcados,fashion_shoes
cool_stuff,cool_stuff
malas_acessorios,luggage_accessories
moveis_escritorio,office_furniture
eletronicos,electronics
eletrodomesticos,home_appliances
casa_construcao,home_construction
construcao_ferramentas_seguranca,construction_tools_safety
pcs,computers
relogios_presentes,watches_gifts
construcao_ferramentas_construcao,construction_tools_construction
pet_shop,pet_shop
eletroportateis,small_appliances
agro_industria_e_comercio,agro_industry_and_commerce
uncategorized,uncategorized
moveis_sala,furniture_living_room
sinalizacao_e_seguranca,signaling_and_security
climatizacao,air_conditioning
consoles_games,consoles_games
livros_interesse_geral,books_general_interest
construcao_ferramentas_ferramentas,costruction_tools_tools
fashion_underwear_e_moda_praia,fashion_underwear_beach
fashion_roupa_masculina,fashion_male_clothing
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture
industria_comercio_e_negocios,industry_commerce_and_business
telefonia_fixa,fixed_telephony
construcao_ferramentas_iluminacao,construction_tools_lights
livros_tecnicos,books_technical
eletrodomesticos_2,home_appliances_2
artigos_de_festas,party_supplies
bebidas,drinks
market_place,market_place
la_cuisine,la_cuisine
construcao_ferramentas_jardim,costruction_tools_garden
fashion_roupa_feminina,fashio_female_clothing
casa_conforto,home_confort
audio,audio
alimentos_bebidas,food_drink
musica,music
alimentos,food
tablets_impressao_imagem,tablets_printing_image
livros_importados,books_imported
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee
fashion_esporte,fashion_sport
artigos_de_natal,christmas_supplies
fashion_roupa_infanto_juvenil,fashion_childrens_clothes
dvds_blu_ray,dvds_blu_ray
artes_e_artesanato,arts_and_craftmanship
pc_gamer,pc_gamer
moveis_quarto,furniture_bedroom
cine_foto,cine_photo
fraldas_higiene,diapers_and_hygiene
flores,flowers
casa_conforto_2,home_comfort_2
portateis_cozinha_e_preparadores_de_alimentos,portable_kitchen_and_food_preparations
seguros_e_servicos,security_and_services
moveis_colchao_e_estofado,furniture_mattress_and_upholstery
cds_dvds_musicais,cds_dvds_musicals
